ID,Description1,Price1,Price2,Price3,ID_1,Description
S12 20/27,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 25/32/30,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 30/33,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 4/27T,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 4/35T,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 6/4,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 8,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S12 88T27,CASCADE W/CLIP-SHORT/CURLY,20,40,40,HAIR A,HAIR ACCESORIES
S13 1/B3,CASCADE W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S13 1/B33,CASCADE W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S13 10/12,CASCADE W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S13 10/25T,CASCADE W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
S13 120-220,CASCADE W/CLIP,20,40,40,HAIR A,HAIR ACCESORIES
