ID,Description1,Price1,Price2,Price3,ID_1,Description,Folder,File Name
SXN BIONDO,SXN BIONDO ULTRA CHIARO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
SXNEUTRO,SXNEUTRO RINFORZATORE DI SCH,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
VERDE,VERDE,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
JCF-1,FLUID 1 NERO BLU,3.25,0,0,COLFLUID,COLOR FLUID
JCF-3N,FLUID 3 N CASTANO SCURO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-4N,FLUID 4 N CASTANO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-4R,FLUID 4 R CASTANO RAMATO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-5D,FLUID 5 D CASTANO CH.DOR,3.25,0,0,COLFLUID,COLOR FLUID
JCF-5M,FLUID 5 M MOGANO CHIARO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-5N,FLUID 5 N CASTANO CHIARO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-5R,FLUID 5 R CASTANO CH. RAM,3.25,0,0,COLFLUID,COLOR FLUID
JCF-5V,FLUID 5V PRUGNA CHIARO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-6N,FLUID 6 N BIONDO SCURO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-6RV,FLUID 6RV ROSSO SC VIVO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-7D,FLUID 7 D BIONDO DORATO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-7N,FLUID 7 N BIONDO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-7R,FLUID 7 R BIONDO RAMATO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-7TIZ,FLUID 7TIZ ROSSO TIZIANO,3.25,0,0,COLFLUID,COLOR FLUID
JCF-8DM,FLUID 8DM BIONDO CH.MELE,3.25,0,0,COLFLUID,COLOR FLUID
JCF-8N,FLUID 8 N BIONDO CHIARO,3.25,0,0,COLFLUID,COLOR FLUID,,
JCF-8RS,CHESTNUT RED,3.25,0,0,COLFLUID,COLOR FLUID,,
JCF-CHART          *,FLUID COLOR  CHART,12,0,0,COLFLUID,COLOR FLUID,,
KIT-FLUID,JALYD COLOR FLUID KIT,0,0,0,COLFLUID,COLOR FLUID,,
JTC-10N,MILLENIUM 10 N,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-1N,MILLENNIUM 1N,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-2N,MILLENNIUM 2N,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-3N,MILLENIUM 3N,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-4N,MILLENNIUM 4N,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-5N,MILLENIUM 5N,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-6N,MILLENIUM 6N,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-7N,MILLENNIUM 7N,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-8N,MILLENIUM 8N,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-9N,MILLENIUM 9N,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-C1,C 1 CENERE,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
